epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
56,5518.06,1.82645,0.99506,0.00094,0.62526,0.28197,0.28275,0.09975,1.25516,1.92076,0.00083,8.5513e-05,8.5513e-05,8.5513e-05,0.000427565,0.000427565,0.000427565
57,5593.31,1.85661,1.03002,0.00092,0.66916,0.26526,0.26544,0.08869,1.30538,1.9205,0.00088,8.24492e-05,8.24492e-05,8.24492e-05,0.000412246,0.000412246,0.000412246
58,5670.91,1.82242,0.99629,0.0009,0.72269,0.27049,0.2833,0.0992,1.26762,2.27757,0.00085,7.94038e-05,7.94038e-05,7.94038e-05,0.000397019,0.000397019,0.000397019
59,5745.8,1.85214,1.00675,0.00095,0.72233,0.28197,0.29181,0.10555,1.29533,2.02184,0.00088,7.63797e-05,7.63797e-05,7.63797e-05,0.000381899,0.000381899,0.000381899
60,5821.11,1.83886,1.00649,0.0009,0.60076,0.30836,0.29036,0.10001,1.26247,1.9403,0.00084,7.33799e-05,7.33799e-05,7.33799e-05,0.000366899,0.000366899,0.000366899
61,5898.21,1.80675,0.92785,0.00088,0.59317,0.29836,0.28868,0.10034,1.26858,1.69368,0.00086,7.04073e-05,7.04073e-05,7.04073e-05,0.000352037,0.000352037,0.000352037
62,5973.43,1.84251,1.01203,0.00092,0.64494,0.27705,0.28259,0.09855,1.28123,2.00038,0.00089,6.74649e-05,6.74649e-05,6.74649e-05,0.000337325,0.000337325,0.000337325
63,6048.31,1.79716,0.98193,0.00089,0.64113,0.26652,0.26851,0.09247,1.2788,2.00045,0.00088,6.45557e-05,6.45557e-05,6.45557e-05,0.000322778,0.000322778,0.000322778
64,6125.44,1.78475,0.9453,0.00089,0.68633,0.27705,0.288,0.10137,1.27705,1.8675,0.00089,6.16824e-05,6.16824e-05,6.16824e-05,0.000308412,0.000308412,0.000308412
65,6200.47,1.82692,0.98567,0.00089,0.71031,0.27869,0.29408,0.09716,1.28378,1.68994,0.00089,5.88479e-05,5.88479e-05,5.88479e-05,0.000294239,0.000294239,0.000294239
66,6275.6,1.8365,1.03105,0.0009,0.74492,0.28033,0.29197,0.09902,1.27558,1.7781,0.00088,5.60549e-05,5.60549e-05,5.60549e-05,0.000280275,0.000280275,0.000280275
67,6353.51,1.76599,0.97914,0.00088,0.75963,0.27977,0.29383,0.10819,1.2525,1.79112,0.00087,5.33064e-05,5.33064e-05,5.33064e-05,0.000266532,0.000266532,0.000266532
68,6428.58,1.80617,0.95088,0.00089,0.65816,0.28407,0.28603,0.10142,1.27263,1.93478,0.00088,5.06049e-05,5.06049e-05,5.06049e-05,0.000253024,0.000253024,0.000253024
69,6503.54,1.81799,1.0012,0.00089,0.62356,0.2918,0.29025,0.10164,1.26688,1.81692,0.00087,4.79531e-05,4.79531e-05,4.79531e-05,0.000239766,0.000239766,0.000239766
70,6580.97,1.77914,0.93873,0.00088,0.65158,0.28818,0.28791,0.0945,1.28988,1.8322,0.00089,4.53537e-05,4.53537e-05,4.53537e-05,0.000226769,0.000226769,0.000226769
71,6655.95,1.77801,0.96481,0.00088,0.64815,0.28361,0.29294,0.10307,1.27207,1.83629,0.00087,4.28093e-05,4.28093e-05,4.28093e-05,0.000214046,0.000214046,0.000214046
72,6730.99,1.76823,0.95164,0.0009,0.62089,0.28361,0.27521,0.09258,1.27941,1.92261,0.00088,4.03222e-05,4.03222e-05,4.03222e-05,0.000201611,0.000201611,0.000201611
73,6808.58,1.78693,0.98335,0.00086,0.624,0.2918,0.28468,0.09436,1.26479,1.89949,0.00085,3.7895e-05,3.7895e-05,3.7895e-05,0.000189475,0.000189475,0.000189475
74,6883.52,1.7908,0.96287,0.00088,0.72365,0.2623,0.27626,0.09205,1.27033,1.97162,0.00087,3.55301e-05,3.55301e-05,3.55301e-05,0.000177651,0.000177651,0.000177651
75,6958.52,1.73812,0.95075,0.00085,0.67516,0.27259,0.28129,0.09408,1.26842,1.9961,0.00085,3.32298e-05,3.32298e-05,3.32298e-05,0.000166149,0.000166149,0.000166149
76,7036.38,1.78799,1.00122,0.00088,0.66311,0.27377,0.27969,0.09547,1.27243,2.05033,0.00087,3.09964e-05,3.09964e-05,3.09964e-05,0.000154982,0.000154982,0.000154982
